TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2014,2,28,9,2,ARBUTUS ST / W 4TH AVE,Kitsilano,488885,5457272
Vehicle Collision or Pedestrian Struck (with Injury),2008,7,12,12,23,ARBUTUS ST / W 57TH AVE,Kerrisdale,488748,5451876
Vehicle Collision or Pedestrian Struck (with Injury),2012,6,12,16,35,ARBUTUS ST / W 57TH AVE,Kerrisdale,488748,5451876
Vehicle Collision or Pedestrian Struck (with Injury),2014,7,30,17,6,ARBUTUS ST / W 57TH AVE,Kerrisdale,488748,5451876
Vehicle Collision or Pedestrian Struck (with Injury),2014,8,23,21,9,ARBUTUS ST / W 57TH AVE,Kerrisdale,488748,5451876
Vehicle Collision or Pedestrian Struck (with Injury),2016,5,14,10,4,ARBUTUS ST / W 57TH AVE,Kerrisdale,488748,5451876
Vehicle Collision or Pedestrian Struck (with Injury),2016,12,20,22,5,ARBUTUS ST / W 5TH AVE,Kitsilano,488882,5457176
Vehicle Collision or Pedestrian Struck (with Injury),2018,6,17,22,49,ARBUTUS ST / W 5TH AVE,Kitsilano,488882,5457176
Vehicle Collision or Pedestrian Struck (with Injury),2005,6,17,2,15,ARBUTUS ST / W 8TH AVE,Kitsilano,488877,5456899
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,17,10,29,ARBUTUS ST / W BROADWAY AVE,Kitsilano,488872,5456795
Vehicle Collision or Pedestrian Struck (with Injury),2005,7,20,2,55,ARBUTUS ST / W BROADWAY AVE,Kitsilano,488872,5456795
Vehicle Collision or Pedestrian Struck (with Injury),2007,12,4,14,49,ARBUTUS ST / W BROADWAY AVE,Kitsilano,488872,5456795
Vehicle Collision or Pedestrian Struck (with Injury),2012,11,19,21,39,ARBUTUS ST / W BROADWAY AVE,Kitsilano,488872,5456795
Vehicle Collision or Pedestrian Struck (with Injury),2016,1,12,17,20,ARBUTUS ST / W BROADWAY AVE,Kitsilano,488872,5456795
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,16,5,39,ARBUTUS ST / W BROADWAY AVE,Kitsilano,488872,5456795
Vehicle Collision or Pedestrian Struck (with Injury),2020,7,28,15,44,ARBUTUS ST / W BROADWAY AVE,Kitsilano,488872,5456795
Vehicle Collision or Pedestrian Struck (with Injury),2009,11,25,18,50,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488856,5455418
Vehicle Collision or Pedestrian Struck (with Injury),2007,10,19,18,54,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488856,5455442
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,21,10,29,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488856,5455442
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,19,14,32,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488860,5455441
Vehicle Collision or Pedestrian Struck (with Injury),2004,3,2,18,29,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488860,5455441
Vehicle Collision or Pedestrian Struck (with Injury),2013,10,17,13,1,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488862,5455415
Vehicle Collision or Pedestrian Struck (with Injury),2015,2,28,19,5,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488862,5455415
Vehicle Collision or Pedestrian Struck (with Injury),2015,5,4,15,19,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488862,5455415
Vehicle Collision or Pedestrian Struck (with Injury),2011,9,22,13,39,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863,5455439
Vehicle Collision or Pedestrian Struck (with Injury),2013,3,22,10,6,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863,5455439
Vehicle Collision or Pedestrian Struck (with Injury),2016,4,14,21,59,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863,5455439
Vehicle Collision or Pedestrian Struck (with Injury),2016,7,5,20,54,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863,5455439
Vehicle Collision or Pedestrian Struck (with Injury),2016,11,16,17,45,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863,5455439
Vehicle Collision or Pedestrian Struck (with Injury),2019,2,1,10,58,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863,5455439
Vehicle Collision or Pedestrian Struck (with Injury),2008,9,8,15,57,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863,5455440
Vehicle Collision or Pedestrian Struck (with Injury),2021,10,5,8,36,ARBUTUS ST / W KING EDWARD AVE,Arbutus Ridge,488863,5455441
Vehicle Collision or Pedestrian Struck (with Injury),2005,6,12,17,37,ARBUTUS ST / WEST BOULEVARD BLVD,Kerrisdale,488706,5452719
Vehicle Collision or Pedestrian Struck (with Injury),2004,2,20,10,49,ARGYLE DR / BRAEBURN ST,Victoria-Fraserview,494924,5451795
Vehicle Collision or Pedestrian Struck (with Injury),2006,12,10,15,3,ARGYLE DR / BRAEBURN ST,Victoria-Fraserview,494924,5451795
Vehicle Collision or Pedestrian Struck (with Injury),2012,8,3,11,2,ARGYLE DR / BRAEBURN ST,Victoria-Fraserview,494924,5451795
Vehicle Collision or Pedestrian Struck (with Injury),2016,3,3,9,12,ARGYLE DR / BRAEBURN ST,Victoria-Fraserview,494924,5451795
Vehicle Collision or Pedestrian Struck (with Injury),2018,2,5,18,37,ARGYLE DR / BRAEBURN ST,Victoria-Fraserview,494924,5451795
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,18,16,43,ARGYLE DR / BRAEBURN ST,Victoria-Fraserview,494924,5451795
Vehicle Collision or Pedestrian Struck (with Injury),2020,11,12,20,51,ARGYLE DR / E 57TH AVE,Victoria-Fraserview,494815,5451679
Vehicle Collision or Pedestrian Struck (with Injury),2021,4,23,10,46,ARGYLE DR / E 57TH AVE,Victoria-Fraserview,494815,5451679
Vehicle Collision or Pedestrian Struck (with Injury),2015,2,10,8,18,ARGYLE DR / E 57TH AVE,Victoria-Fraserview,494828,5451701
Vehicle Collision or Pedestrian Struck (with Injury),2015,11,23,8,21,ARGYLE DR / VICTORIA DR,Victoria-Fraserview,495203,5451944
Vehicle Collision or Pedestrian Struck (with Injury),2018,12,14,0,23,ARGYLE DR / VICTORIA DR,Victoria-Fraserview,495203,5451944
Vehicle Collision or Pedestrian Struck (with Injury),2014,1,13,7,29,ARGYLE ST / E 33RD AVE,Kensington-Cedar Cottage,494813,5454153
Vehicle Collision or Pedestrian Struck (with Injury),2010,8,14,10,7,ARGYLE ST / E 33RD AVE,Kensington-Cedar Cottage,494814,5454154
Vehicle Collision or Pedestrian Struck (with Injury),2011,9,7,18,16,ARGYLE ST / E 41ST AVE,Victoria-Fraserview,494793,5453319
Vehicle Collision or Pedestrian Struck (with Injury),2021,4,7,18,17,ARGYLE ST / E 41ST AVE,Victoria-Fraserview,494793,5453319
Vehicle Collision or Pedestrian Struck (with Injury),2005,11,20,10,1,ARGYLE ST / E 43RD AVE,Victoria-Fraserview,494789,5453089
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,7,16,23,ARGYLE ST / E 49TH AVE,Victoria-Fraserview,494774,5452495
Vehicle Collision or Pedestrian Struck (with Injury),2007,12,13,8,22,ARGYLE ST / E 49TH AVE,Victoria-Fraserview,494774,5452495
Vehicle Collision or Pedestrian Struck (with Injury),2015,12,17,22,8,ARGYLE ST / E 49TH AVE,Victoria-Fraserview,494774,5452495
Vehicle Collision or Pedestrian Struck (with Injury),2016,10,27,16,43,ARGYLE ST / E 49TH AVE,Victoria-Fraserview,494774,5452495
Vehicle Collision or Pedestrian Struck (with Injury),2022,3,17,22,16,ARGYLE ST / E 49TH AVE,Victoria-Fraserview,494774,5452495
Vehicle Collision or Pedestrian Struck (with Injury),2007,6,1,20,20,ARGYLE ST / E 57TH AVE,Victoria-Fraserview,494755,5451703
Vehicle Collision or Pedestrian Struck (with Injury),2005,8,16,18,16,ARGYLE ST / E 57TH AVE,Victoria-Fraserview,494828,5451701
Vehicle Collision or Pedestrian Struck (with Injury),2006,3,21,18,14,ARGYLE ST / E 57TH AVE,Victoria-Fraserview,494828,5451701
Vehicle Collision or Pedestrian Struck (with Injury),2007,11,12,11,34,ARGYLE ST / E 60TH AVE,Victoria-Fraserview,494755,5451406
Vehicle Collision or Pedestrian Struck (with Injury),2005,9,26,14,29,ARGYLE ST / E 61ST AVE,Victoria-Fraserview,494754,5451312
Vehicle Collision or Pedestrian Struck (with Injury),2009,2,20,15,40,ARGYLE ST / E 64TH AVE,Victoria-Fraserview,494753,5451022
Vehicle Collision or Pedestrian Struck (with Injury),2008,9,19,20,14,ARGYLE ST / E KENT AVE N,Victoria-Fraserview,494805,5450689
Vehicle Collision or Pedestrian Struck (with Injury),2020,7,13,17,27,ARGYLE ST / E KENT AVE S,Victoria-Fraserview,494805,5450657
Vehicle Collision or Pedestrian Struck (with Injury),2004,3,14,12,57,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494750,5450912
Vehicle Collision or Pedestrian Struck (with Injury),2004,10,9,14,7,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494750,5450912
Vehicle Collision or Pedestrian Struck (with Injury),2012,4,19,22,46,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494750,5450912
Vehicle Collision or Pedestrian Struck (with Injury),2012,11,18,18,39,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494750,5450912
Vehicle Collision or Pedestrian Struck (with Injury),2014,12,9,11,13,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494750,5450912
Vehicle Collision or Pedestrian Struck (with Injury),2016,5,13,13,49,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494750,5450912
Vehicle Collision or Pedestrian Struck (with Injury),2015,7,26,12,36,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494750,5450924
Vehicle Collision or Pedestrian Struck (with Injury),2019,12,16,6,57,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494750,5450924
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,23,12,15,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494806,5450909
Vehicle Collision or Pedestrian Struck (with Injury),2012,1,9,7,47,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494806,5450922
Vehicle Collision or Pedestrian Struck (with Injury),2018,6,1,22,27,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494806,5450922
Vehicle Collision or Pedestrian Struck (with Injury),2021,11,29,20,36,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494806,5450922
Vehicle Collision or Pedestrian Struck (with Injury),2008,10,30,15,28,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494807,5450910
Vehicle Collision or Pedestrian Struck (with Injury),2009,7,17,6,55,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494807,5450910
Vehicle Collision or Pedestrian Struck (with Injury),2011,2,7,9,59,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494807,5450910
Vehicle Collision or Pedestrian Struck (with Injury),2008,8,24,23,38,ARGYLE ST / SE MARINE DR,Victoria-Fraserview,494807,5450922
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,11,8,19,ARLINGTON ST / E 49TH AVE,Killarney,497949,5452274
Vehicle Collision or Pedestrian Struck (with Injury),2005,8,29,17,21,ASH ST / SW MARINE DR,Marpole,491231,5450680
Vehicle Collision or Pedestrian Struck (with Injury),2005,10,3,15,45,ASH ST / SW MARINE DR,Marpole,491231,5450680
Vehicle Collision or Pedestrian Struck (with Injury),2014,3,28,21,13,ASH ST / SW MARINE DR,Marpole,491231,5450680
Vehicle Collision or Pedestrian Struck (with Injury),2014,6,14,11,25,ASH ST / SW MARINE DR,Marpole,491231,5450680
Vehicle Collision or Pedestrian Struck (with Injury),2015,2,12,20,20,ASH ST / SW MARINE DR,Marpole,491231,5450680
Vehicle Collision or Pedestrian Struck (with Injury),2016,12,3,12,5,ASH ST / SW MARINE DR,Marpole,491231,5450680
Vehicle Collision or Pedestrian Struck (with Injury),2018,6,15,19,25,ASH ST / SW MARINE DR,Marpole,491231,5450680
Vehicle Collision or Pedestrian Struck (with Injury),2021,12,10,18,12,ASH ST / SW MARINE DR,Marpole,491231,5450680
Vehicle Collision or Pedestrian Struck (with Injury),2013,10,10,17,24,ASH ST / SW MARINE DR,Marpole,491335,5450729
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,25,14,54,ASH ST / SW MARINE DR,Marpole,491335,5450729
Vehicle Collision or Pedestrian Struck (with Injury),2012,10,2,16,20,ASH ST / SW MARINE DR,Marpole,491335,5450747
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,16,6,53,ASH ST / SW MARINE DR,Marpole,491335,5450747
Vehicle Collision or Pedestrian Struck (with Injury),2007,3,16,11,10,ASH ST / W 10TH AVE,Fairview,491445,5456619
Vehicle Collision or Pedestrian Struck (with Injury),2016,1,5,17,4,ASH ST / W 10TH AVE,Fairview,491445,5456619
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,3,10,15,ASH ST / W 10TH AVE,Fairview,491445,5456619
Vehicle Collision or Pedestrian Struck (with Injury),2010,2,20,18,31,ASH ST / W 10TH AVE,Fairview,491446,5456620
Vehicle Collision or Pedestrian Struck (with Injury),2008,7,22,18,13,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2009,4,6,18,49,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2010,11,6,17,23,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2015,2,5,8,11,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2015,12,28,18,42,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2020,2,28,11,49,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2021,8,25,21,21,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2021,10,11,10,9,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2022,2,7,10,19,ASH ST / W 12TH AVE,Fairview,491441,5456415
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,5,9,8,ASH ST / W 13TH AVE,Fairview,491438,5456309
Vehicle Collision or Pedestrian Struck (with Injury),2008,10,22,20,30,ASH ST / W 16TH AVE,Fairview,491404,5456027
Vehicle Collision or Pedestrian Struck (with Injury),2012,6,28,10,10,ASH ST / W 17TH AVE,South Cambie,491401,5455929
Vehicle Collision or Pedestrian Struck (with Injury),2013,6,26,12,52,ASH ST / W 17TH AVE,South Cambie,491401,5455929
Vehicle Collision or Pedestrian Struck (with Injury),2020,6,26,21,44,ASH ST / W 2ND AVE,Fairview,491457,5457016
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,14,1,35,ASH ST / W 49TH AVE,Oakridge,491399,5452601
Vehicle Collision or Pedestrian Struck (with Injury),2010,10,5,19,45,ASH ST / W 49TH AVE,Oakridge,491400,5452601
Vehicle Collision or Pedestrian Struck (with Injury),2005,6,1,18,56,ASH ST / W 64TH AVE,Marpole,491245,5451072
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,3,8,10,ASH ST / W 69TH AVE,Marpole,491233,5450733
Vehicle Collision or Pedestrian Struck (with Injury),2016,10,22,16,42,ASH ST / W 69TH AVE,Marpole,491233,5450733
Vehicle Collision or Pedestrian Struck (with Injury),2004,11,30,11,23,ASH ST / W 6TH AVE,Fairview,491457,5457009
Vehicle Collision or Pedestrian Struck (with Injury),2005,9,21,11,36,ASH ST / W 6TH AVE,Fairview,491457,5457009
Vehicle Collision or Pedestrian Struck (with Injury),2011,9,28,8,45,ASH ST / W 6TH AVE,Fairview,491457,5457016
Vehicle Collision or Pedestrian Struck (with Injury),2021,10,30,20,8,ASH ST / W 6TH AVE,Fairview,491457,5457016
Vehicle Collision or Pedestrian Struck (with Injury),2020,2,1,15,5,ASH ST / W 7TH AVE,Fairview,491455,5456923
Vehicle Collision or Pedestrian Struck (with Injury),2004,7,17,3,45,ASH ST / W 8TH AVE,Fairview,491453,5456830
Vehicle Collision or Pedestrian Struck (with Injury),2007,12,28,17,2,ASH ST / W 8TH AVE,Fairview,491453,5456830
Vehicle Collision or Pedestrian Struck (with Injury),2020,12,18,12,52,ASH ST / W BROADWAY,Fairview,491449,5456727
Vehicle Collision or Pedestrian Struck (with Injury),2005,7,8,5,54,ASH ST / W BROADWAY AVE,Fairview,491449,5456727
Vehicle Collision or Pedestrian Struck (with Injury),2015,8,21,12,55,ASH ST / W BROADWAY AVE,Fairview,491449,5456727
Vehicle Collision or Pedestrian Struck (with Injury),2019,4,13,10,54,ASH ST / W BROADWAY AVE,Fairview,491449,5456727
Vehicle Collision or Pedestrian Struck (with Injury),2019,7,10,10,43,ASH ST / W BROADWAY AVE,Fairview,491449,5456727
Vehicle Collision or Pedestrian Struck (with Injury),2010,7,26,19,53,ASH ST / W BROADWAY AVE,Fairview,491450,5456727
Vehicle Collision or Pedestrian Struck (with Injury),2012,12,11,8,33,ASH ST / W KENT AVE N,Marpole,491323,5450334
Vehicle Collision or Pedestrian Struck (with Injury),2015,3,8,16,49,ASH ST / W KING EDWARD AVE,South Cambie,491381,5455139
Vehicle Collision or Pedestrian Struck (with Injury),2010,11,10,8,52,ASH ST / W KING EDWARD AVE,South Cambie,491382,5455155
Vehicle Collision or Pedestrian Struck (with Injury),2012,4,6,8,44,ASH ST / W KING EDWARD AVE,South Cambie,491382,5455155
Vehicle Collision or Pedestrian Struck (with Injury),2013,9,11,19,8,ATHLETES WAY / COLUMBIA ST,Mount Pleasant,492043,5457653
Vehicle Collision or Pedestrian Struck (with Injury),2010,11,12,12,27,ATHLETES WAY / MANITOBA ST,Mount Pleasant,492248,5457676
Vehicle Collision or Pedestrian Struck (with Injury),2016,5,14,11,32,ATHLETES WAY / ONTARIO ST,Mount Pleasant,492391,5457643
Vehicle Collision or Pedestrian Struck (with Injury),2021,8,21,21,59,ATHLONE ST / W 41ST AVE,Oakridge,490070,5453503
Vehicle Collision or Pedestrian Struck (with Injury),2013,6,26,15,21,BALACLAVA ST / SW MARINE DR,Kerrisdale,487198,5452936
Vehicle Collision or Pedestrian Struck (with Injury),2012,10,12,10,43,BALACLAVA ST / W 10TH AVE,Kitsilano,487338,5456741
Vehicle Collision or Pedestrian Struck (with Injury),2014,9,23,8,44,BALACLAVA ST / W 16TH AVE,Kitsilano,487322,5456133
Vehicle Collision or Pedestrian Struck (with Injury),2007,12,20,22,13,BALACLAVA ST / W 4TH AVE,Kitsilano,487355,5457313
Vehicle Collision or Pedestrian Struck (with Injury),2014,7,1,20,59,BALACLAVA ST / W 4TH AVE,Kitsilano,487355,5457313
Vehicle Collision or Pedestrian Struck (with Injury),2011,4,12,20,6,BALACLAVA ST / W BROADWAY AVE,Kitsilano,487341,5456837
Vehicle Collision or Pedestrian Struck (with Injury),2014,4,19,19,56,BALACLAVA ST / W BROADWAY AVE,Kitsilano,487341,5456837
Vehicle Collision or Pedestrian Struck (with Injury),2021,7,29,9,13,BALACLAVA ST / W BROADWAY AVE,Kitsilano,487341,5456837
Vehicle Collision or Pedestrian Struck (with Injury),2011,11,5,16,13,BALFOUR AVE / GRANVILLE ST,Shaughnessy,489882,5455468
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,1,0,30,BALFOUR AVE / OAK ST,Shaughnessy,490725,5455446
Vehicle Collision or Pedestrian Struck (with Injury),2005,6,17,15,52,BALSAM ST / CORNWALL AVE,Kitsilano,488383,5457778
Vehicle Collision or Pedestrian Struck (with Injury),2010,11,27,17,8,BALSAM ST / W 12TH AVE,Kitsilano,488348,5456500
Vehicle Collision or Pedestrian Struck (with Injury),2004,2,5,10,0,BALSAM ST / W 16TH AVE,Arbutus Ridge,488336,5456080
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,14,15,20,BALSAM ST / W 18TH AVE,Arbutus Ridge,488333,5455961
Vehicle Collision or Pedestrian Struck (with Injury),2011,8,7,16,38,BALSAM ST / W 2ND AVE,Kitsilano,488375,5457484
Vehicle Collision or Pedestrian Struck (with Injury),2009,11,7,11,41,BALSAM ST / W 39TH AVE,Arbutus Ridge,488259,5453761
Vehicle Collision or Pedestrian Struck (with Injury),2007,6,3,19,28,BALSAM ST / W 3RD AVE,Kitsilano,488373,5457386
Vehicle Collision or Pedestrian Struck (with Injury),2010,3,25,15,48,BALSAM ST / W 41ST AVE,Arbutus Ridge,488254,5453557
Vehicle Collision or Pedestrian Struck (with Injury),2012,3,6,9,15,BALSAM ST / W 43RD AVE,Kerrisdale,488249,5453349
Vehicle Collision or Pedestrian Struck (with Injury),2012,6,26,8,39,BALSAM ST / W 43RD AVE,Kerrisdale,488249,5453349
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,27,8,15,BALSAM ST / W 4TH AVE,Kitsilano,488371,5457288
Vehicle Collision or Pedestrian Struck (with Injury),2013,9,13,8,1,BALSAM ST / W 4TH AVE,Kitsilano,488371,5457288
Vehicle Collision or Pedestrian Struck (with Injury),2009,2,9,19,0,BALSAM ST / W 4TH AVE,Kitsilano,488371,5457289
Vehicle Collision or Pedestrian Struck (with Injury),2011,2,22,17,2,BALSAM ST / W 4TH AVE,Kitsilano,488371,5457289
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,19,7,59,BALSAM ST / W 8TH AVE,Kitsilano,488360,5456909
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,12,14,10,BALSAM ST / W BROADWAY AVE,Kitsilano,488358,5456809
Vehicle Collision or Pedestrian Struck (with Injury),2006,7,29,9,0,BALSAM ST / YORK AVE,Kitsilano,488380,5457681
Vehicle Collision or Pedestrian Struck (with Injury),2009,8,18,20,52,BARCLAY ST / BIDWELL ST,West End,490112,5459599
Vehicle Collision or Pedestrian Struck (with Injury),2013,12,22,20,21,BARCLAY ST / BROUGHTON ST,West End,490396,5459315
Vehicle Collision or Pedestrian Struck (with Injury),2021,1,5,7,36,BARCLAY ST / BROUGHTON ST,West End,490396,5459315
Vehicle Collision or Pedestrian Struck (with Injury),2021,5,11,16,51,BARCLAY ST / BROUGHTON ST,West End,490396,5459315
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,20,18,37,BARCLAY ST / BROUGHTON ST,West End,490399,5459318
Vehicle Collision or Pedestrian Struck (with Injury),2018,12,13,17,0,BARCLAY ST / BROUGHTON ST,West End,490399,5459318
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,18,13,49,BARCLAY ST / BURRARD ST,Central Business District,490911,5458799
Vehicle Collision or Pedestrian Struck (with Injury),2012,8,30,21,9,BARCLAY ST / BURRARD ST,Central Business District,490911,5458799
Vehicle Collision or Pedestrian Struck (with Injury),2014,5,5,13,12,BARCLAY ST / BURRARD ST,Central Business District,490911,5458799
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,31,11,3,BARCLAY ST / BUTE ST,West End,490611,5459106
Vehicle Collision or Pedestrian Struck (with Injury),2005,8,26,14,56,BARCLAY ST / CHILCO ST,West End,489783,5459923
Vehicle Collision or Pedestrian Struck (with Injury),2012,5,24,18,40,BARCLAY ST / CHILCO ST,West End,489783,5459923
Vehicle Collision or Pedestrian Struck (with Injury),2016,7,21,18,45,BARCLAY ST / CHILCO ST,West End,489783,5459923
Vehicle Collision or Pedestrian Struck (with Injury),2022,3,16,18,46,BARCLAY ST / CHILCO ST,West End,489783,5459923
Vehicle Collision or Pedestrian Struck (with Injury),2005,3,2,23,24,BARCLAY ST / DENMAN ST,West End,489997,5459711
Vehicle Collision or Pedestrian Struck (with Injury),2013,12,1,18,31,BARCLAY ST / DENMAN ST,West End,489997,5459711
Vehicle Collision or Pedestrian Struck (with Injury),2014,10,19,12,28,BARCLAY ST / DENMAN ST,West End,489997,5459711
Vehicle Collision or Pedestrian Struck (with Injury),2007,6,2,21,16,BARCLAY ST / NICOLA ST,West End,490312,5459400
Vehicle Collision or Pedestrian Struck (with Injury),2007,8,20,16,39,BARCLAY ST / NICOLA ST,West End,490312,5459400
Vehicle Collision or Pedestrian Struck (with Injury),2013,5,22,17,50,BARCLAY ST / THURLOW ST,West End,490768,5458948
Vehicle Collision or Pedestrian Struck (with Injury),2015,6,30,16,18,BAUER ST / MCSPADDEN AVE,Grandview-Woodland,495096,5457072
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,24,2,52,BAYSWATER ST / POINT GREY RD,Kitsilano,487561,5457605
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,15,12,0,BAYSWATER ST / POINT GREY RD,Kitsilano,487561,5457605
Vehicle Collision or Pedestrian Struck (with Injury),2004,9,8,22,31,BAYSWATER ST / W 4TH AVE,Kitsilano,487554,5457309
Vehicle Collision or Pedestrian Struck (with Injury),2006,10,13,7,55,BAYSWATER ST / W 4TH AVE,Kitsilano,487554,5457309
Vehicle Collision or Pedestrian Struck (with Injury),2014,8,24,11,23,BAYSWATER ST / W 4TH AVE,Kitsilano,487554,5457309
Vehicle Collision or Pedestrian Struck (with Injury),2015,7,15,10,29,BAYSWATER ST / W 4TH AVE,Kitsilano,487554,5457309
Vehicle Collision or Pedestrian Struck (with Injury),2012,9,1,14,38,BAYSWATER ST / W BROADWAY AVE,Kitsilano,487541,5456832
Vehicle Collision or Pedestrian Struck (with Injury),2011,9,18,6,34,BEACH AVE / BIDWELL ST,West End,489620,5459100
Vehicle Collision or Pedestrian Struck (with Injury),2004,10,2,9,33,BEACH AVE / BURNABY ST,West End,489637,5459291
Vehicle Collision or Pedestrian Struck (with Injury),2016,7,24,21,2,BEACH AVE / BURNABY ST,West End,489637,5459291
Vehicle Collision or Pedestrian Struck (with Injury),2012,8,18,1,2,BEACH AVE / CARDERO ST,West End,489688,5458934
Vehicle Collision or Pedestrian Struck (with Injury),2013,11,18,15,13,BEACH AVE / CARDERO ST,West End,489688,5458934
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,16,20,26,BEACH AVE / CHILCO ST,West End,489508,5459647
Vehicle Collision or Pedestrian Struck (with Injury),2020,7,28,16,49,BEACH AVE / HORNBY ST,Central Business District,490343,5458075
Vehicle Collision or Pedestrian Struck (with Injury),2012,9,3,16,36,BEACH AVE / HOWE ST,Central Business District,490411,5458008
Vehicle Collision or Pedestrian Struck (with Injury),2012,10,9,7,43,BEACH AVE / HOWE ST,Central Business District,490411,5458008
Vehicle Collision or Pedestrian Struck (with Injury),2013,10,24,3,45,BEACH AVE / HOWE ST,Central Business District,490411,5458008
Vehicle Collision or Pedestrian Struck (with Injury),2013,12,1,0,48,BEACH AVE / JERVIS ST,West End,489936,5458649
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,25,9,56,BEACH AVE / JERVIS ST,West End,489936,5458649
Vehicle Collision or Pedestrian Struck (with Injury),2019,10,29,11,53,BEACH AVE / JERVIS ST,West End,489936,5458649
Vehicle Collision or Pedestrian Struck (with Injury),2014,5,3,11,54,BEACH AVE / NICOLA ST,West End,489765,5458855
Vehicle Collision or Pedestrian Struck (with Injury),2016,3,20,4,4,BEACH AVE / PACIFIC ST,West End,489886,5458734
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,5,17,51,BEACH AVE / THURLOW ST,West End,490149,5458324
Vehicle Collision or Pedestrian Struck (with Injury),2015,8,25,17,47,BEACH AVE / THURLOW ST,West End,490149,5458324
Vehicle Collision or Pedestrian Struck (with Injury),2018,8,27,19,58,BEACH AVE / THURLOW ST,West End,490149,5458324
